메뉴 이름,재료,날씨,시간,종류,분류,배달용
달걀찜,"달걀, 양파, 파, 당근",추움,낮,반찬,한식,F
북엇국,"생선, 북어, 다시마, 양파, 파, 마늘",추움,낮,국,한식,F
된장국,"된장, 무, 마늘, 파, 감자, 두부",추움,낮,국,한식,F
샐러드,"채소, 양상추, 양배추, 방울토마토",더움,낮,반찬,양식,T
군만두,"밀가루, 돼지고기, 양파, 파, 마늘, 당면",보통,낮,메인,중식,F
된장찌개,"된장, 두부, 파, 양파, 마늘, 버섯",추움,낮,국,한식,T
라따뚜이,"토마토, 가지, 올리브오일",추움,밤,메인,양식,F
카프레제,"모짜렐라치즈, 치즈, 토마토, 바질, 올리브오일",더움,낮,반찬,양식,F
배추롤,"배추, 돼지고기, 소고기",더움,낮,반찬,한식,F
떡갈비,"돼지고기, 소고기, 파, 마늘, 양파",보통,밤,반찬,한식,T
삼계탕,"닭고기, 쌀, 대추, 인삼, 마늘",보통,낮,메인,한식,T
콩국수,"콩, 밀가루, 면, 오이",더움,낮,면,한식,T
김치찌개,"김치, 두부, 파, 양파, 고추",추움,낮,국,한식,T
돼지고기김치찌개,"돼지고기, 김치, 두부, 파, 양파, 고추",추움,낮,국,한식,T
참치김치찌개,"참치, 김치, 두부, 파, 양파, 고추",추움,낮,국,한식,T
부대찌개,"돼지고기, 소시지, 김치, 햄, 두부, 파",추움,밤,국,한식,T
토마토 스파게티,"스파게티, 면, 토마토, 양파, 마늘, 올리브오일",보통,낮,면,양식,T
돼지고기 장조림,"돼지고기, 마늘",보통,낮,반찬,한식,F
소고기 장조림,"소고기, 마늘",보통,낮,반찬,한식,F
돼지갈비찜,"돼지갈비, 돼지고기, 당근, 양파, 파, 마늘",보통,밤,메인,한식,T
소갈비찜,"소갈비, 소고기, 당근, 양파, 파, 마늘",보통,밤,메인,한식,T
삼겹살 구이,"삼겹살, 돼지고기",더움,밤,메인,한식,T
오리 훈제 구이,"오리고기",더움,밤,메인,한식,T
소고기 구이,"소고기",더움,밤,메인,한식,T
양갈비 구이,"양갈비, 양고기",더움,밤,메인,양식,T
호박죽,"호박, 쌀",추움,낮,죽,한식,T
전복죽,"전복, 쌀, 당근, 양파, 파",추움,낮,죽,한식,T
야채죽,"쌀, 당근, 양파, 파, 버섯",추움,낮,죽,한식,T
소고기 리조또,"쌀, 소고기, 양파, 당근, 피망, 버터, 생크림",보통,낮,메인,양식,T
소고기 스테이크,"소고기, 버터",보통,밤,메인,양식,T
닭고기 스테이크,"닭고기, 버터",보통,밤,메인,양식,F
라면,"라면, 면",추움,밤,면,분식,F
잔치국수,"밀가루, 면, 멸치, 당근, 양파, 달걀, 김",추움,낮,면,분식,T
돈까스,"돼지고기, 밀가루, 달걀, 빵가루",보통,낮,메인,양식,T
생선까스,"생선, 밀가루, 달걀, 빵가루",보통,낮,메인,양식,T
치킨까스,"닭고기, 밀가루, 달걀, 빵가루",보통,낮,메인,양식,T
카레덮밥,"돼지고기, 감자, 당근, 양파, 카레가루, 쌀",더움,낮,밥,아시안,T
카레우동,"돼지고기, 감자, 당근, 양파, 카레가루, 우동, 면",더움,낮,면,일식,T
우동,"우동, 면, 파, 쯔유",추움,낮,면,일식,T
해물볶음밥,"쌀, 새우, 문어, 낙지, 당근, 양파, 파",보통,낮,밥,중식,T
야채볶음밥,"쌀, 당근, 양파, 파",보통,낮,밥,중식,T
짜장면,"면, 밀가루, 돼지고기, 양파, 양배추, 파, 춘장",보통,낮,면,중식,T
짬뽕,"면, 밀가루, 오징어, 홍합, 죽순, 양파, 당근, 양배추, 마늘, 고추",추움,낮,면,중식,T
멘보샤,"빵, 새우, 달걀",보통,낮,메인,중식,T
햄치즈토스트,"빵, 햄, 치즈, 달걀",보통,낮,메인,분식,T
치킨 가라아게,"닭고기, 튀김가루",보통,밤,반찬,일식,T
양념 치킨,"닭고기, 튀김가루, 고추장, 케첩",보통,밤,메인,한식,T
후라이드 치킨,"닭고기, 튀김가루",보통,밤,메인,양식,T
김치볶음밥,"김치, 쌀, 김, 파",보통,낮,밥,한식,T
삼겹김치볶음밥,"삼겹살, 돼지고기, 김치, 쌀, 파",보통,낮,밥,한식,T
햄김치볶음밥,"햄, 김치, 쌀, 파",보통,낮,밥,한식,T
연어초밥,"연어, 생선, 쌀",보통,낮,밥,일식,T
새우초밥,"새우, 쌀",보통,낮,밥,일식,T
참치초밥,"참치, 생선, 쌀",보통,낮,밥,일식,T
달걀초밥,"달걀, 쌀, 김",보통,낮,밥,일식,T
김밥,"쌀, 김, 단무지, 달걀, 햄, 오이, 당근",보통,낮,밥,분식,T
치킨 볶음밥,"닭고기, 쌀, 당근, 양파, 달걀",보통,낮,밥,한식,F
라면 볶음밥,"라면, 면, 양파, 당근, 파, 달걀, 쌀",보통,낮,밥,한식,F
비빔밥,"쌀, 당근, 시금치, 콩나물, 달걀, 고추장",더움,낮,밥,한식,T
닭갈비,"닭고기, 양파, 당근, 양배추, 고추장",보통,밤,메인,한식,T
만두 전골,"밀가루, 돼지고기, 양파, 파, 마늘",추움,밤,메인,한식,T
소고기 전골,"소고기, 양파, 버섯",추움,밤,메인,한식,T
날치알 주먹밥,"쌀, 날치알, 김, 마요네즈",보통,낮,밥,한식,F
햄 주먹밥,"쌀, 햄, 김, 마요네즈",보통,낮,밥,한식,F
소고기 주먹밥,"쌀, 소고기, 김, 마요네즈",보통,낮,밥,한식,F
탕수육,"돼지고기, 당근, 양파, 튀김가루",보통,낮,메인,중식,T
핫도그,"소시지, 밀가루, 케첩",보통,낮,메인,분식,T
고기 만두,"돼지고기, 밀가루, 양파, 당면, 파, 마늘",추움,밤,메인,분식,T
김치 만두,"돼지고기, 밀가루, 양파, 당면, 파, 마늘, 김치",추움,밤,메인,분식,T
바지락 칼국수,"바지락, 밀가루, 면, 호박, 감자, 양파, 파, 멸치, 다시마",추움,밤,면,한식,T
장칼국수,"고추장, 된장, 밀가루, 면, 호박, 감자, 양파, 파, 멸치, 다시마, 마늘",추움,밤,면,한식,T
제육볶음,"고추장, 돼지고기, 양파, 당근, 파",보통,낮,반찬,한식,T
